Y(mm)
400
398.4778792
393.9231012
386.3703305
375.8770483
362.5231148
346.4101615
327.6608177
306.4177772
282.8427125
257.1150439
229.4305745
200
169.0473047
136.8080573
103.527618
69.45927107
34.8622971
-1.11E-12
-34.8622971
-69.45927107
-103.527618
-136.8080573
-169.0473047
-200
-229.4305745
-257.1150439
-282.8427125
-306.4177772
-327.6608177
-346.4101615
-362.5231148
-375.8770483
-386.3703305
-393.9231012
-398.4778792
-400
-398.4778792
-393.9231012
-386.3703305
-375.8770483
-362.5231148
-346.4101615
-327.6608177
-306.4177772
-282.8427125
-257.1150439
-229.4305745
-200
-169.0473047
-136.8080573
-103.527618
-69.45927107
-34.8622971
7.55E-10
34.8622971
69.45927107
103.527618
136.8080573
169.0473047
200
229.4305745
257.1150439
282.8427125
306.4177772
327.6608177
346.4101615
362.5231148
375.8770483
386.3703305
393.9231012
398.4778792
400
