"Lin_vel_J3_Y"
"시간 (sec)","선형 속도8 (mm/sec)"
0,-82.3338966025664
0.0416666666666667,-118.795817350284
0.0833333333333333,-156.070710617658
0.125,-193.258080049236
0.166666666666667,-229.507579440028
0.208333333333333,-264.025114567575
0.25,-296.079327904866
0.291666666666667,-325.008858042285
0.333333333333333,-350.230483067087
0.375,-371.247998411213
0.416666666666667,-387.661420748213
0.458333333333333,-399.175846609372
0.5,-405.609045816236
0.541666666666667,-406.896676098214
0.583333333333333,-403.093924054412
0.625,-394.372470780021
0.666666666666667,-381.011992817688
0.708333333333333,-363.385943440404
0.75,-341.964695381467
0.791666666666666,-317.178765412971
0.833333333333333,-289.619328828443
0.875,-259.78587603017
0.916666666666666,-228.175520579464
0.958333333333333,-195.240401070554
1,-161.372868661484
1.04166666666667,-126.896327577538
1.08333333333333,-92.061559865688
1.125,-57.0478613833541
1.16666666666667,-21.9680413766625
1.20833333333333,13.1237074023771
1.25,48.2219193376214
1.29166666666667,83.3585286862605
1.33333333333333,118.590342750125
1.375,153.985177417803
1.41666666666667,189.606128793887
1.45833333333333,225.493063004162
1.5,261.640017140388
1.54166666666667,297.966837786193
1.58333333333333,334.283099557752
1.625,370.242284482779
1.66666666666667,405.284645508575
1.70833333333333,438.568634905336
1.75,468.894091656569
1.79166666666667,494.626775605902
1.83333333333333,513.644756343617
1.875,523.343536642706
1.91666666666667,520.757094051196
1.95833333333333,502.86864097239
2,467.179431001571
2.04166666666667,412.546094065454
2.08333333333333,340.158141603013
2.125,254.320739025691
2.16666666666667,162.543202853735
2.20833333333333,74.5133918663031
2.25,1.53066174351306e-05
2.29166666666667,-53.6098391778254
2.33333333333333,-83.0694472746599
2.375,-89.58951094827
2.41666666666667,-77.7794745595427
2.45833333333333,-53.9217850630515
2.5,-24.3666420108077
2.54166666666667,5.50999328843619
2.58333333333333,31.7389261679403
2.625,51.755360890011
2.66666666666667,64.1741336320921
2.70833333333333,68.4997990139155
2.75,64.857568787073
2.79166666666667,53.778292896236
2.83333333333333,36.0411904141477
2.875,12.5654486292812
2.91666666666666,-15.6613678408913
2.95833333333333,-47.6291345650064
3,-82.3338966025758
