"Lin_vel_J2_y"
"시간 (sec)","선형 속도6 (mm/sec)"
0,-1.17961196366423e-13
0.0416666666666667,-73.0154243024547
0.0833333333333333,-145.475157138049
0.125,-216.827736187521
0.166666666666667,-286.53012524044
0.208333333333333,-354.051847028658
0.25,-418.879020478639
0.291666666666667,-480.518271656709
0.333333333333333,-538.500488642606
0.375,-592.384391754448
0.416666666666667,-641.759891953563
0.458333333333333,-686.251211869694
0.5,-725.519745693686
0.541666666666667,-759.266636172149
0.583333333333333,-787.235049091612
0.625,-809.21212794197
0.666666666666667,-825.030613883047
0.708333333333333,-834.570118685369
0.75,-837.7579910582
0.791666666666666,-834.570118685371
0.833333333333333,-825.03061388305
0.875,-809.212127941975
0.916666666666666,-787.235049091618
0.958333333333333,-759.266636172155
1,-725.519745693693
1.04166666666667,-686.251211869701
1.08333333333333,-641.759891953571
1.125,-592.384391754455
1.16666666666667,-538.500488642614
1.20833333333333,-480.518271656717
1.25,-418.879020478647
1.29166666666667,-354.051847028667
1.33333333333333,-286.530125240449
1.375,-216.827736187531
1.41666666666667,-145.475157138059
1.45833333333333,-73.0154243024653
1.5,-1.0769163338864e-11
1.54166666666667,73.0154243024444
1.58333333333333,145.47515713804
1.625,216.827736187515
1.66666666666667,286.530125240437
1.70833333333333,354.051847028659
1.75,418.879020478642
1.79166666666667,480.51827165671
1.83333333333333,538.500488642599
1.875,592.384391754425
1.91666666666667,641.759891953524
1.95833333333333,686.25121186966
2,725.519745693712
2.04166666666667,759.266636172313
2.08333333333333,787.235049091956
2.125,809.212127942414
2.16666666666667,825.030613883377
2.20833333333333,834.570118685368
2.25,837.758024568078
2.29166666666667,834.570118684857
2.33333333333333,825.030613882614
2.375,809.212127941724
2.41666666666667,787.235049091524
2.45833333333333,759.266636172138
2.5,725.519745693693
2.54166666666667,686.251211869695
2.58333333333333,641.759891953555
2.625,592.384391754435
2.66666666666667,538.500488642594
2.70833333333333,480.5182716567
2.75,418.879020478634
2.79166666666667,354.051847028657
2.83333333333333,286.530125240441
2.875,216.827736187525
2.91666666666666,145.475157138054
2.95833333333333,73.0154243024609
3,2.31065167000111e-12
