 Y(mm)
795.8201389
791.634373
785.9092165
778.6297193
769.8174285
759.5281717
747.8495807
734.8983289
720.8170482
705.7708903
689.9437094
673.5338658
656.7496829
639.8046338
622.9123806
606.2818391
590.1124826
574.5901184
559.8833572
546.1410613
533.4906407
522.037689
511.8664758
503.0414338
495.6093603
489.6021193
485.0396084
481.9327768
480.2865111
480.1022498
481.3802257
484.1212647
488.3280869
494.0060595
501.163336
509.8102854
519.9580699
531.6161688
544.7885647
559.4682324
575.6294847
593.217697
612.1359823
632.228645
653.2618501
674.9031192
696.7032216
718.0867919
738.361091
756.7542092
772.4918593
784.9123742
793.6016781
798.5096315
800
798.801963
795.8700788
792.1997244
788.6596352
785.8854267
784.244798
783.8586629
784.6526397
786.4167397
788.8596531
791.6518958
794.4571199
796.9532886
798.8461117
799.8769875
799.8272358
798.5199193
795.8201389
