"MotorTorque_"
"시간 (sec)","모터 토크4 (newton-mm)"
0,372.306326706252
0.0416666666666667,267.87985018209
0.0833333333333333,167.349583054479
0.125,71.0631602621538
0.166666666666667,-20.7782116017946
0.208333333333333,-107.994739626432
0.25,-190.342411428791
0.291666666666667,-267.457744807945
0.333333333333333,-338.828221829929
0.375,-403.786764731332
0.416666666666667,-461.530329472224
0.458333333333333,-511.162920935843
0.5,-551.761947819481
0.541666666666667,-582.463909767673
0.583333333333333,-602.561409820718
0.625,-611.599383009087
0.666666666666667,-609.455615320626
0.708333333333333,-596.390530829058
0.75,-572.934179253091
0.791666666666666,-540.44971274946
0.833333333333333,-499.845780034596
0.875,-452.66966852942
0.916666666666666,-400.379204508881
0.958333333333333,-344.343482066158
1,-285.743489465333
1.04166666666667,-225.502026404559
1.08333333333333,-164.24495505572
1.125,-102.290211880239
1.16666666666667,-39.6576043221229
1.20833333333333,23.9086222835776
1.25,88.911603248611
1.29166666666667,156.073150153582
1.33333333333333,226.306938745832
1.375,300.693024299443
1.41666666666667,380.449804079824
1.45833333333333,466.895534867265
1.5,561.386148795406
1.54166666666667,665.208481963597
1.58333333333333,779.397076037453
1.625,904.427542136163
1.66666666666667,1039.72023806895
1.70833333333333,1182.86794689067
1.75,1328.49095301395
1.79166666666667,1466.64800833293
1.83333333333333,1580.84383694807
1.875,1645.95940626105
1.91666666666667,1626.99590410307
1.95833333333333,1480.40195896208
2,1160.67170232961
2.04166666666667,634.898287570323
2.08333333333333,-94.7329389655511
2.125,-967.357464908605
2.16666666666667,-1854.33794239243
2.20833333333333,-2582.11127096564
2.25,-2989.28515622564
2.29166666666667,-2991.96057952588
2.33333333333333,-2617.7682186242
2.375,-1985.50240540464
2.41666666666667,-1249.25377474403
2.45833333333333,-543.053631992301
2.5,48.22058220271
2.54166666666667,490.172172344228
2.58333333333333,784.819159970612
2.625,953.72303300934
2.66666666666667,1025.0103283006
2.70833333333333,1025.73787688749
2.75,978.49607106815
2.79166666666667,900.600444803345
2.83333333333333,804.556081933244
2.875,698.981884281666
2.91666666666666,589.577054277279
2.95833333333333,479.95606338745
3,372.306326706316
