X(mm)
918.3280556
884.6092747
850.5118619
816.3270291
782.3279374
748.7691175
715.8855784
683.8917177
652.9801403
623.3204938
595.0584267
568.3147772
543.1850988
519.7396222
498.0237395
478.0590727
459.8451538
443.361701
428.5714162
415.4232803
403.8559433
393.8014753
385.1888819
377.9474975
372.0100622
367.3154302
363.8108942
361.4541531
360.2149835
360.0767001
361.0374985
363.1117829
366.3315697
370.7480527
376.4333952
383.4827878
392.016772
402.1837665
414.1626337
428.164974
444.4365956
463.2572647
484.9373444
509.8092816
538.2111357
570.4586403
606.8020587
647.365119
692.0667292
740.5331104
792.0184446
845.3631194
899.0228913
951.1904887
999.999989
1043.765557
1081.183851
1111.443244
1134.223618
1149.613155
1157.987648
1159.892453
1155.949463
1146.794794
1133.04303
1115.270447
1094.010024
1069.752819
1042.95218
1014.028713
983.374931
951.3590871
918.3280556
