"Motor_vel_Ang"
"시간 (sec)","각속도3 (deg/sec)"
0,120
0.0416666666666667,120
0.0833333333333333,120
0.125,120
0.166666666666667,120
0.208333333333333,120
0.25,120
0.291666666666667,120
0.333333333333333,120
0.375,120
0.416666666666667,120
0.458333333333333,120
0.5,120
0.541666666666667,120
0.583333333333333,120
0.625,120
0.666666666666667,120
0.708333333333333,120
0.75,120
0.791666666666666,120
0.833333333333333,120
0.875,120
0.916666666666666,120
0.958333333333333,120
1,120
1.04166666666667,120
1.08333333333333,120
1.125,120
1.16666666666667,120
1.20833333333333,120
1.25,120
1.29166666666667,120
1.33333333333333,120
1.375,120
1.41666666666667,120
1.45833333333333,120
1.5,120
1.54166666666667,120
1.58333333333333,120
1.625,120
1.66666666666667,120
1.70833333333333,120
1.75,120
1.79166666666667,120
1.83333333333333,120
1.875,120
1.91666666666667,120
1.95833333333333,120
2,120
2.04166666666667,120
2.08333333333333,120
2.125,120
2.16666666666667,120
2.20833333333333,120
2.25,120
2.29166666666667,120
2.33333333333333,120
2.375,120
2.41666666666667,120
2.45833333333333,120
2.5,120
2.54166666666667,120
2.58333333333333,120
2.625,120
2.66666666666667,120
2.70833333333333,120
2.75,120
2.79166666666667,120
2.83333333333333,120
2.875,120
2.91666666666666,120
2.95833333333333,120
3,120
