"Force_J2_y"
"시간 (sec)","반력8 (newton)"
0,2.14975020968561
0.0416666666666667,2.0531981611822
0.0833333333333333,1.94773966349149
0.125,1.83064007843183
0.166666666666667,1.69994238670653
0.208333333333333,1.55432930084359
0.25,1.3930301879663
0.291666666666667,1.21576340640254
0.333333333333333,1.02270577099506
0.375,0.814481243291112
0.416666666666667,0.592160540302292
0.458333333333333,0.35726237468469
0.5,0.111745950160845
0.541666666666667,-0.142016137395934
0.583333333333333,-0.401294428300278
0.625,-0.66309512219368
0.666666666666667,-0.924289358766833
0.708333333333333,-1.18177227981299
0.75,-1.43240998972663
0.791666666666666,-1.67434131785626
0.833333333333333,-1.90484766899524
0.875,-2.12271166671271
0.916666666666666,-2.32711416019935
0.958333333333333,-2.51783392658251
1,-2.69517292541271
1.04166666666667,-2.85985177542711
1.08333333333333,-3.01289550569635
1.125,-3.15552737325192
1.16666666666667,-3.28908323969214
1.20833333333333,-3.41495250991599
1.25,-3.5345454873883
1.29166666666667,-3.64928201655145
1.33333333333333,-3.76059253939941
1.375,-3.8699196820859
1.41666666666667,-3.97870533363528
1.45833333333333,-4.08834380071802
1.5,-4.20007481399807
1.54166666666667,-4.31477964769028
1.58333333333333,-4.43262821162916
1.625,-4.5525041155821
1.66666666666667,-4.67110979349214
1.70833333333333,-4.78163122021268
1.75,-4.87183893641363
1.79166666666667,-4.92155755982145
1.83333333333333,-4.89962310579897
1.875,-4.7608831110841
1.91666666666667,-4.44461328930299
1.95833333333333,-3.87695285764508
2,-2.98120280390633
2.04166666666667,-1.69978667421112
2.08333333333333,-0.0279852900961183
2.125,1.94969768716036
2.16666666666667,4.04177828640657
2.20833333333333,5.97557678917729
2.25,7.47320169148164
2.29166666666667,8.346650658102
2.33333333333333,8.56060834287639
2.375,8.22387837975448
2.41666666666667,7.52672251212958
2.45833333333333,6.66584098835007
2.5,5.7944120388653
2.54166666666667,5.0062535165108
2.58333333333333,4.34348185685191
2.625,3.81304265577871
2.66666666666667,3.4024591978375
2.70833333333333,3.09109627896748
2.75,2.85683823847951
2.79166666666667,2.67940396221713
2.83333333333333,2.54160660765324
2.875,2.42952568589995
2.91666666666666,2.33219044097576
2.95833333333333,2.24110162718703
3,2.14975020968568
