"Force_J2_x"
"시간 (sec)","반력7 (newton)"
0,0.930765816765629
0.0416666666666667,0.492626206151589
0.0833333333333333,0.0813889962341773
0.125,-0.306593537837677
0.166666666666667,-0.674007706074701
0.208333333333333,-1.02269318394784
0.25,-1.35373756639469
0.291666666666667,-1.66755074791503
0.333333333333333,-1.96392411176554
0.375,-2.24208304076562
0.416666666666667,-2.50074377724447
0.458333333333333,-2.73818693965468
0.5,-2.95235940231605
0.541666666666667,-3.14101297408403
0.583333333333333,-3.30188187319775
0.625,-3.43289170763145
0.666666666666667,-3.53238208429593
0.708333333333333,-3.59931586469761
0.75,-3.63332683790511
0.791666666666666,-3.63539626629157
0.833333333333333,-3.60668514384608
0.875,-3.54961455388829
0.916666666666666,-3.46711740794867
0.958333333333333,-3.36254704921701
1,-3.23945899467222
1.04166666666667,-3.10141464930141
1.08333333333333,-2.95182956797009
1.125,-2.7938768609043
1.16666666666667,-2.63044521893818
1.20833333333333,-2.46414308641158
1.25,-2.29733647895496
1.29166666666667,-2.13220732014121
1.33333333333333,-1.9708207824709
1.375,-1.81519266776994
1.41666666666667,-1.66735023748201
1.45833333333333,-1.52938123505976
1.5,-1.40346537198852
1.54166666666667,-1.29187937095762
1.58333333333333,-1.1969593814262
1.625,-1.12099092689144
1.66666666666667,-1.06597299154537
1.70833333333333,-1.03316467766095
1.75,-1.02226552530604
1.79166666666667,-1.03000484495613
1.83333333333333,-1.04784072913646
1.875,-1.05846217754077
1.91666666666667,-1.0310068803248
1.95833333333333,-0.915642633080114
2,-0.63976378761551
2.04166666666667,-0.1105390467386
2.08333333333333,0.769340412085616
2.125,2.06758475820542
2.16666666666667,3.77470280643391
2.20833333333333,5.76485548921632
2.25,7.7980438786339
2.29166666666667,9.58040924541313
2.33333333333333,10.8618065870115
2.375,11.5134514331171
2.41666666666667,11.5480659357846
2.45833333333333,11.0825062211409
2.5,10.2773189623171
2.54166666666667,9.28614373879113
2.58333333333333,8.22876477462825
2.625,7.1849627758523
2.66666666666667,6.20014214351242
2.70833333333333,5.29489575295098
2.75,4.47407117617833
2.79166666666667,3.73368319838225
2.83333333333333,3.06554590015927
2.875,2.460087683865
2.91666666666666,1.90790867557031
2.95833333333333,1.40054453013222
3,0.930765816765797
