"Lin_vel_J3_x"
"시간 (sec)","선형 속도7 (mm/sec)"
0,-802.270271425839
0.0416666666666667,-814.99489812892
0.0833333333333333,-820.516005001259
0.125,-819.263084295818
0.166666666666667,-811.674831123927
0.208333333333333,-798.208048836177
0.25,-779.343758684882
0.291666666666667,-755.590663133013
0.333333333333333,-727.486038414996
0.375,-695.594068821507
0.416666666666667,-660.501603852614
0.458333333333333,-622.811337765491
0.5,-583.132493103525
0.541666666666667,-542.069241758778
0.583333333333333,-500.207311742077
0.625,-458.099479054889
0.666666666666667,-416.250885432579
0.708333333333333,-375.105293064689
0.75,-335.055590734839
0.791666666666666,-296.324403164635
0.833333333333333,-259.180980782261
0.875,-223.718819553091
0.916666666666666,-189.9695632285
0.958333333333333,-157.887012561173
1,-127.355391217974
1.04166666666667,-98.198555614837
1.08333333333333,-70.1890405588116
1.125,-43.0560066769451
1.16666666666667,-16.4914052006852
1.20833333333333,9.84605725373056
1.25,36.3293281896784
1.29166666666667,63.3637665986917
1.33333333333333,91.3900589481866
1.375,120.888955606169
1.41666666666667,152.387314061784
1.45833333333333,186.464676931998
1.5,223.759196096156
1.54166666666667,264.971039321998
1.58333333333333,310.860352217071
1.625,362.235237525074
1.66666666666667,419.922892365679
1.70833333333333,484.713920605101
1.75,557.266076763043
1.79166666666667,637.950096499622
1.83333333333333,726.618915626264
1.875,822.286788682561
1.91666666666667,922.723918252551
1.95833333333333,1024.01477739747
2,1120.20085892389
2.04166666666667,1203.22093389733
2.08333333333333,1263.42643576604
2.125,1290.89188977109
2.16666666666667,1277.46338001247
2.20833333333333,1219.01775802055
2.25,1117.01392856351
2.29166666666667,978.47823308502
2.33333333333333,814.355153212062
2.375,636.851399156839
2.41666666666667,457.009971591167
2.45833333333333,283.239432242174
2.5,120.955103296716
2.54166666666667,-27.0122566167688
2.58333333333333,-159.692965476868
2.625,-277.266523374747
2.66666666666667,-380.511364508813
2.70833333333333,-470.441446178108
2.75,-548.096416676043
2.79166666666667,-614.438065478811
2.83333333333333,-670.312070191412
2.875,-716.445830220402
2.91666666666666,-753.463854954006
2.95833333333333,-781.909928292496
3,-802.270271425831
