Time_s,Shaking_Force_N
0.04500000000000003,4.021633427304615
0.046000000000000034,3.757050294809318
0.047000000000000035,3.636050768928604
0.048000000000000036,3.636133107920552
0.04900000000000004,3.727955352331701
0.05000000000000004,3.8820878140141724
0.05100000000000004,4.073759400124068
0.05200000000000004,4.284364193358685
0.05300000000000004,4.500920707869185
0.05400000000000004,4.71479679784016
0.05500000000000004,4.920491242487752
0.05600000000000004,5.114640488702919
0.057000000000000044,5.2953375185783464
0.058000000000000045,5.461644326363711
0.059000000000000045,5.613266722420974
0.060000000000000046,5.750333863728675
0.06100000000000005,5.873249040374262
0.06200000000000005,5.982588288396801
0.06300000000000004,6.079031219083506
0.06400000000000004,6.163313701031156
0.06500000000000004,6.236195488680326
0.06600000000000004,6.298438161168317
0.06700000000000005,6.350790229958877
0.06800000000000005,6.3939772651415465
0.06900000000000005,6.428695553981803
0.07000000000000005,6.455608253400722
0.07100000000000005,6.47534330640786
0.07200000000000005,6.488492601796323
0.07300000000000005,6.4956120068786
0.07400000000000005,6.4972220052525
0.07500000000000005,6.493808746500444
0.07600000000000005,6.485825367729663
0.07700000000000005,6.473693485178724
0.07800000000000006,6.457804781802974
0.07900000000000006,6.43852263753185
0.08000000000000006,6.416183763900015
0.08100000000000006,6.391099815383712
0.08200000000000006,6.363558958579021
0.08300000000000006,6.333827386279556
0.08400000000000006,6.302150767573579
0.08500000000000006,6.268755629525758
0.08600000000000006,6.233850667001003
0.08700000000000006,6.1976279804656285
0.08800000000000006,6.160264241908722
0.08900000000000007,6.12192179043303
0.09000000000000007,6.082749659827658
0.09100000000000007,6.042884540216831
0.09200000000000007,6.002451677315335
0.09300000000000007,5.96156571176589
0.09400000000000007,5.920331461913035
0.09500000000000007,5.878844653372231
0.09600000000000007,5.837192597976664
0.09700000000000007,5.7954548255670195
0.09800000000000007,5.75370367156952
0.09900000000000007,5.712004822724499
0.10000000000000007,5.67041782422711
0.10100000000000008,5.628996550446535
0.10200000000000008,5.587789641925889
0.10300000000000008,5.546840910665375
0.10400000000000008,5.506189716086468
0.10500000000000008,5.465871313728099
0.10600000000000008,5.425917178249448
0.10700000000000008,5.386355302971246
0.10800000000000008,5.347210477372729
0.10900000000000008,5.308504543995679
0.11000000000000008,5.270256636558542
0.11100000000000008,5.232483400239291
0.11200000000000009,5.19519919581995
0.11300000000000009,5.158416288423953
0.11400000000000009,5.122145022231514
0.11500000000000009,5.086393982126206
0.11600000000000009,5.051170143302652
0.11700000000000009,5.016479009393939
0.11800000000000009,4.982324740350807
0.11900000000000009,4.948710270652362
0.12000000000000009,4.91563741840639
0.1210000000000001,4.883106986274636
0.1220000000000001,4.851118854617884
0.1230000000000001,4.819672067495228
0.1240000000000001,4.7887649121009845
0.12500000000000008,4.758394992007949
0.12600000000000008,4.728559294800904
0.12700000000000009,4.699254254240608
0.12800000000000009,4.67047580790766
0.1290000000000001,4.642219449937238
0.1300000000000001,4.614480279814117
0.1310000000000001,4.5872530472794475
0.1320000000000001,4.5605321934335725
0.1330000000000001,4.534311888828107
0.1340000000000001,4.5085860681540115
0.1350000000000001,4.483348462364444
0.1360000000000001,4.458592627963136
0.1370000000000001,4.434311973859454
0.1380000000000001,4.410499786205671
0.1390000000000001,4.387149250680917
0.1400000000000001,4.364253473326751
0.1410000000000001,4.341805499279515
0.1420000000000001,4.3197983298912
0.1430000000000001,4.298224938534345
0.1440000000000001,4.277078284604584
0.1450000000000001,4.256351326595344
0.1460000000000001,4.236037033739862
0.1470000000000001,4.216128396578839
0.1480000000000001,4.196618436593112
0.1490000000000001,4.177500214698373
0.1500000000000001,4.158766839074232
0.1510000000000001,4.140411472009855
0.1520000000000001,4.1224273361251464
0.1530000000000001,4.104807719848209
0.1540000000000001,4.087545982217484
0.1550000000000001,4.0706355572162485
0.1560000000000001,4.054069957501295
0.1570000000000001,4.037842777588597
0.1580000000000001,4.021947696699855
0.1590000000000001,4.006378481124752
0.16000000000000011,3.991128986230272
0.16100000000000012,3.976193158056643
0.16200000000000012,3.9615650347309797
0.16300000000000012,3.947238747448201
0.16400000000000012,3.933208521258517
0.16500000000000012,3.919468675611576
0.16600000000000012,3.9060136246846593
0.16700000000000012,3.8928378773922105
0.16800000000000012,3.8799360375534526
0.16900000000000012,3.867302803335009
0.17000000000000012,3.854932967193814
0.17100000000000012,3.8428214151220668
0.17200000000000013,3.830963126153805
0.17300000000000013,3.819353171583893
0.17400000000000013,3.8079867140852306
0.17500000000000013,3.7968590068977264
0.17600000000000013,3.785965392740025
0.17700000000000013,3.775301302750697
0.17800000000000013,3.764862255480082
0.17900000000000013,3.754643855539546
