Time_s,Vel_X_mms
0.001,0.0
0.002,-75.92337466721126
0.003,-145.85985813742025
0.004,-210.2656234189669
0.005,-269.56305354599823
0.006,-324.14308354944694
0.007,-374.3674090909031
0.008,-420.5705633152422
0.009000000000000001,-463.0618658477418
0.010000000000000002,-502.12724837012445
0.011000000000000003,-538.0309617112478
0.012000000000000004,-571.0171697307261
0.013000000000000005,-601.3114354850134
0.014000000000000005,-629.1221052688511
0.015000000000000006,-654.6415961412073
0.016000000000000007,-678.0475924912146
0.017000000000000008,-699.5041570914228
0.01800000000000001,-719.162761935278
0.01900000000000001,-737.1632439738687
0.02000000000000001,-753.634690662525
0.02100000000000001,-768.6962600078767
0.022000000000000013,-782.4579395766882
0.023000000000000013,-795.0212486938206
0.024000000000000014,-806.4798878219746
0.025000000000000015,-816.9203388834861
0.026000000000000016,-826.4224200567277
0.027000000000000017,-835.0597983583749
0.028000000000000018,-842.9004631094156
0.02900000000000002,-850.0071631780633
0.03000000000000002,-856.4378106973415
0.03100000000000002,-862.2458537696801
0.03200000000000002,-867.4806204950881
0.03300000000000002,-872.1876364938158
0.03400000000000002,-876.4089179384821
0.035000000000000024,-880.1832419643471
0.036000000000000025,-883.5463961893208
0.037000000000000026,-886.5314089472943
0.03800000000000003,-889.1687617188237
0.03900000000000003,-891.4865851318593
0.04000000000000003,-893.5108398016409
0.04100000000000003,-895.2654831825606
0.04200000000000003,-896.7726235154273
0.04300000000000003,-898.0526618706945
0.04400000000000003,-899.1244232113044
0.04500000000000003,-900.0052773277475
0.046000000000000034,-900.7112504320346
0.047000000000000035,-901.2571281363918
0.048000000000000036,-901.656550486221
0.04900000000000004,-901.9220996648282
0.05000000000000004,-902.0653811162457
0.05100000000000004,-902.0970975399808
0.05200000000000004,-902.0271189457223
0.05300000000000004,-901.8645454455038
0.05400000000000004,-901.6177668524901
0.05500000000000004,-901.2945156610941
0.05600000000000004,-900.9019184065154
0.057000000000000044,-900.446541292312
0.058000000000000045,-899.9344330265433
0.059000000000000045,-899.3711642654017
0.060000000000000046,-898.761864041132
0.06100000000000005,-898.1112534072004
0.06200000000000005,-897.4236765154927
0.06300000000000004,-896.703129323574
0.06400000000000004,-895.9532861146009
0.06500000000000004,-895.1775239982626
0.06600000000000004,-894.3789455480214
0.06700000000000005,-893.5603997178451
0.06800000000000005,-892.7245011704965
0.06900000000000005,-891.8736481391628
0.07000000000000005,-891.0100389348471
0.07100000000000005,-890.1356872030764
0.07200000000000005,-889.2524360256288
0.07300000000000005,-888.3619709554536
0.07400000000000005,-887.4658320661861
0.07500000000000005,-886.5654250913997
0.07600000000000005,-885.6620317228858
0.07700000000000005,-884.7568191319416
0.07800000000000006,-883.8508487727269
0.07900000000000006,-882.9450845221947
0.08000000000000006,-882.0404002069064
0.08100000000000006,-881.1375865631891
0.08200000000000006,-880.2373576735555
0.08300000000000006,-879.3403569189503
0.08400000000000006,-878.447162483459
0.08500000000000006,-877.5582924452056
0.08600000000000006,-876.6742094846845
0.08700000000000006,-875.7953252393331
0.08800000000000006,-874.9220043309756
0.08900000000000007,-874.0545680907519
0.09000000000000007,-873.1932980042292
0.09100000000000007,-872.338438897752
0.09200000000000007,-871.4902018853985
0.09300000000000007,-870.648767094499
0.09400000000000007,-869.8142861863231
0.09500000000000007,-868.9868846872076
0.09600000000000007,-868.1666641443579
0.09700000000000007,-867.353704119393
0.09800000000000007,-866.5480640317307
0.09900000000000007,-865.7497848630599
0.10000000000000007,-864.9588907332163
0.10100000000000008,-864.1753903570713
0.10200000000000008,-863.3992783912671
0.10300000000000008,-862.6305366790159
0.10400000000000008,-861.8691354005499
0.10500000000000008,-861.115034136196
