Time_s,Vel_Y_mms
0.001,0.0
0.002,-0.01571397612736003
0.003,-0.08817905505263679
0.004,-0.24759418801935384
0.005,-0.5153589763313149
0.006,-0.9057809666092737
0.007,-1.42750033047917
0.008,-2.0846742851140796
0.009000000000000001,-2.8779578217739687
0.010000000000000002,-3.8053122207140078
0.011000000000000003,-4.862668374578661
0.012000000000000004,-6.044468054193953
0.013000000000000005,-7.344102869732167
0.014000000000000005,-8.75426774991256
0.015000000000000006,-10.267243229954758
0.016000000000000007,-11.875118657634436
0.017000000000000008,-13.569966552655522
0.01800000000000001,-15.343976748626975
0.01900000000000001,-17.189557574305848
0.02000000000000001,-19.099410160396513
0.02100000000000001,-21.066580962631253
0.022000000000000013,-23.084496746927307
0.023000000000000013,-25.146985566956047
0.024000000000000014,-27.248286659971754
0.025000000000000015,-29.383051677184913
0.026000000000000016,-31.54633923636935
0.027000000000000017,-33.73360442475104
0.028000000000000018,-35.94068457915961
0.02900000000000002,-38.16378241901441
0.03000000000000002,-40.39944739834078
0.03100000000000002,-42.644555969115316
0.03200000000000002,-44.89629130425904
0.03300000000000002,-47.152122909781326
0.03400000000000002,-49.40978645787359
0.035000000000000024,-51.667264092753406
0.036000000000000025,-53.92276539584506
0.037000000000000026,-56.17470914400896
0.03800000000000003,-58.42170595191909
0.03900000000000003,-60.66254185559522
0.04000000000000003,-62.89616286705346
0.04100000000000003,-65.12166050880225
0.04200000000000003,-67.3382583204692
0.04300000000000003,-69.54529931730092
0.04400000000000003,-71.74223437094173
0.04500000000000003,-73.92861147614028
0.046000000000000034,-76.10406586237268
0.047000000000000035,-78.26831090638142
0.048000000000000036,-80.42112979996723
0.04900000000000004,-82.56236792676552
0.05000000000000004,-84.69192589217201
0.05100000000000004,-86.80975322128943
0.05200000000000004,-88.91584252666762
0.05300000000000004,-91.01022432222928
0.05400000000000004,-93.09296222716357
0.05500000000000004,-95.16414874918794
0.05600000000000004,-97.22390132819339
0.057000000000000044,-99.27235888036421
0.058000000000000045,-101.30967864441423
0.059000000000000045,-103.33603335615454
0.060000000000000046,-105.35160871550266
0.06100000000000005,-107.35660112014133
0.06200000000000005,-109.35121564195383
0.06300000000000004,-111.3356642241787
0.06400000000000004,-113.31016407896064
0.06500000000000004,-115.27493626659161
0.06600000000000004,-117.23020443926966
0.06700000000000005,-119.1761937336224
0.06800000000000005,-121.11312979757813
0.06900000000000005,-123.04123793839742
0.07000000000000005,-124.96074237983193
0.07100000000000005,-126.87186561742969
0.07200000000000005,-128.7748278619902
0.07300000000000005,-130.66984656207475
0.07400000000000005,-132.55713599730484
0.07500000000000005,-134.43690693494608
0.07600000000000005,-136.30936634297512
0.07700000000000005,-138.17471715346764
0.07800000000000006,-140.03315807072696
0.07900000000000006,-141.8848834191177
0.08000000000000006,-143.7300830260507
0.08100000000000006,-145.56894213601095
0.08200000000000006,-147.4016413519336
0.08300000000000006,-149.2283566005923
0.08400000000000006,-151.0492591190116
0.08500000000000006,-152.8645154592098
0.08600000000000006,-154.674287508863
0.08700000000000006,-156.4787325257291
0.08800000000000006,-158.27800318389706
0.08900000000000007,-160.07224763013878
0.09000000000000007,-161.86160954881666
0.09100000000000007,-163.64622823398008
0.09200000000000007,-165.42623866742827
0.09300000000000007,-167.20177160165466
0.09400000000000007,-168.97295364671814
0.09500000000000007,-170.73990736018806
0.09600000000000007,-172.50275133941784
0.09700000000000007,-174.26160031548952
0.09800000000000007,-176.01656524825214
0.09900000000000007,-177.76775342194784
0.10000000000000007,-179.515268540989
0.10100000000000008,-181.25921082550425
0.10200000000000008,-182.9996771063234
0.10300000000000008,-184.73676091911966
0.10400000000000008,-186.47055259746853
0.10500000000000008,-188.20113936461777
0.10600000000000008,-189.92860542379654
0.10700000000000008,-191.65303204692424
0.10800000000000008,-193.37449766159935
0.10900000000000008,-195.09307793627434
0.11000000000000008,-196.80884586354628
0.11100000000000008,-198.5218718415034
0.11200000000000009,-200.23222375308987
0.11300000000000009,-201.9399670434592
0.11400000000000009,-203.64516479530405
0.11500000000000009,-205.3478778021545
0.11600000000000009,-207.04816463965395
0.11700000000000009,-208.74608173481695
0.11800000000000009,-210.4416834332963
0.11900000000000009,-212.13502206467558
0.12000000000000009,-213.82614800582044
0.1210000000000001,-215.5151097423196
0.1220000000000001,-217.20195392805297
0.1230000000000001,-218.88672544292214
0.1240000000000001,-220.56946744878857
0.12500000000000008,-222.25022144365835
0.12600000000000008,-223.92902731415742
0.12700000000000009,-225.60592338634422
0.12800000000000009,-227.28094647490093
0.1290000000000001,-228.95413193075186
0.1300000000000001,-230.62551368715302
0.1310000000000001,-232.2951243042979
0.1320000000000001,-233.96299501248353
0.1330000000000001,-235.62915575388368
0.1340000000000001,-237.2936352229689
0.1350000000000001,-238.95646090562218
0.1360000000000001,-240.61765911698478
0.1370000000000001,-242.27725503808136
0.1380000000000001,-243.93527275125916
0.1390000000000001,-245.59173527448314
0.1400000000000001,-247.24666459452428
0.1410000000000001,-248.90008169908043
0.1420000000000001,-250.5520066078632
0.1430000000000001,-252.20245840268814
0.1440000000000001,-253.8514552566009
0.1450000000000001,-255.49901446207392
0.1460000000000001,-257.145152458305
0.1470000000000001,-258.7898848576484
0.1480000000000001,-260.4332264712077
0.1490000000000001,-262.0751913336222
0.1500000000000001,-263.71579272707146
0.1510000000000001,-265.35504320452634
0.1520000000000001,-266.9929546122732
0.1530000000000001,-268.62953811173526
0.1540000000000001,-270.264804200615
0.1550000000000001,-271.8987627333836
0.1560000000000001,-273.53142294113457
0.1570000000000001,-275.1627934508297
